#OG_name,Actinidia_deliciosa,Actinidia_arguta,Actinidia_zhejiangensis,Coffea_arabica,Arabidopsis_thaliana,Actinidia_chinensis,Actinidia_eriantha,Actinidia_rufa,Actinidia_hemsleyana,Vitis_vinifera,Rhododendron_simsii,Cycas_panzhihuaensis
OG_8826,10,7,10,1,4,3,4,3,2,1,1,1
OG_8829,25,20,12,8,3,6,8,4,6,3,3,2
OG_8835,23,15,10,4,3,6,8,4,5,1,2,1
OG_8836,18,10,5,2,2,3,2,3,2,1,2,2
OG_8842,9,8,5,5,1,2,6,3,2,1,2,2
OG_8845,21,17,7,3,3,1,3,4,3,6,2,2
OG_8846,23,24,8,2,8,4,4,4,3,3,1,1
OG_8852,22,24,10,7,6,4,5,3,7,3,4,2
OG_8853,12,10,4,12,8,2,3,2,1,5,2,4
OG_8856,34,51,17,6,3,8,13,7,10,3,2,1
OG_8857,25,33,16,4,5,4,7,3,11,2,2,1
OG_8859,39,27,18,5,10,8,8,12,7,1,7,3
OG_8863,16,14,10,5,3,4,3,3,6,1,4,1
OG_8868,15,11,7,8,2,5,3,3,5,1,3,1
OG_8872,36,31,49,4,3,9,12,9,10,2,1,2
OG_8874,26,27,10,3,8,8,4,4,5,2,3,1
OG_8883,4,16,10,4,4,1,2,4,4,3,1,1
OG_8887,32,22,20,4,1,10,6,8,12,3,6,2
OG_8893,10,14,4,1,3,2,4,2,2,1,1,3
OG_8901,8,15,7,3,1,2,2,3,3,3,1,1
OG_8902,22,25,15,4,7,6,6,10,8,1,2,1
OG_8912,21,19,10,3,14,5,4,3,3,1,1,1
OG_8916,51,25,51,3,2,16,10,12,32,20,26,7
OG_8917,21,24,11,1,1,6,5,5,6,1,2,1
OG_8918,54,24,17,5,2,7,7,7,7,6,5,6
OG_8920,16,26,10,4,4,3,6,4,4,6,1,3
OG_8921,25,16,8,4,1,6,5,10,5,3,3,3
OG_8923,31,27,13,4,4,8,7,4,5,1,2,4
OG_8924,24,27,11,5,2,6,4,7,5,3,2,4
OG_8925,29,37,18,2,6,6,6,6,6,3,3,2
OG_8927,12,8,4,10,8,2,2,2,2,12,4,6
OG_8928,16,13,7,2,2,2,3,2,2,1,2,1
OG_8930,28,10,11,2,6,5,4,9,6,1,2,1
OG_8933,22,23,12,7,3,5,5,3,5,1,2,1
OG_8937,16,27,11,4,1,3,3,1,3,1,5,1
OG_8940,23,19,9,4,3,7,6,5,5,1,1,3
OG_8944,24,21,9,1,2,5,3,3,4,1,1,1
OG_8948,24,16,10,5,4,5,3,5,5,3,3,2
OG_8949,19,24,10,2,1,3,4,5,3,2,2,2
OG_8952,25,26,16,10,8,6,4,7,7,2,5,2
OG_8955,22,17,8,2,2,4,1,2,4,1,1,1
OG_8958,25,17,8,2,6,5,4,5,4,1,1,1
OG_8961,35,25,19,7,4,9,3,7,10,3,2,1
OG_8968,20,15,7,6,2,3,5,2,3,1,1,3
OG_8969,46,41,19,8,2,9,7,7,9,4,5,2
OG_8974,74,38,22,20,1,11,14,12,10,14,4,8
OG_8975,6,8,4,2,2,2,2,3,2,2,1,1
OG_8976,17,11,5,15,6,1,2,3,3,1,8,5
OG_8977,40,25,18,3,4,11,10,9,11,7,4,6
OG_8978,9,5,3,3,4,2,2,1,1,2,1,1
OG_8986,45,47,3,6,3,9,10,9,8,6,3,4
OG_8989,103,73,47,63,61,28,7,18,25,16,16,49
OG_8992,33,33,16,16,25,10,12,9,9,10,21,8
OG_8993,13,13,5,10,4,3,3,2,3,2,2,12
OG_8994,21,15,7,3,4,3,2,5,3,1,2,3
OG_8999,18,13,14,4,3,11,11,6,11,3,4,1
OG_9014,5,6,3,1,3,2,1,1,1,2,1,1
OG_9017,44,35,17,20,24,9,10,12,9,7,8,8
OG_9020,14,16,7,5,6,4,2,6,3,2,2,1
OG_9022,31,13,14,25,1,11,1,8,9,4,7,3
OG_9035,19,34,7,6,1,2,3,3,8,4,1,1
OG_9036,66,43,30,32,11,13,18,20,13,22,7,8
OG_9046,20,12,9,4,5,3,2,3,3,3,1,2
OG_9047,23,26,13,2,1,5,3,4,11,1,1,2
OG_9051,25,14,13,8,6,5,4,5,4,11,6,9
OG_9056,34,50,16,10,4,6,6,9,8,2,2,3
OG_9062,10,35,10,2,3,2,2,3,2,1,1,1
OG_9064,17,18,12,2,2,2,2,4,10,2,1,1
OG_9066,6,7,2,3,4,1,1,1,1,1,1,1
OG_9067,10,10,4,2,1,2,2,2,2,1,1,2
OG_9069,17,27,9,11,6,4,5,6,4,2,7,2
OG_9071,8,4,3,2,1,3,3,1,3,2,1,1
OG_9072,11,9,5,1,6,4,2,2,2,1,1,2
OG_9074,11,18,10,3,3,2,4,1,3,1,2,6
OG_9077,10,18,5,8,1,4,3,3,5,1,1,1
OG_9082,10,8,5,9,1,4,3,2,3,1,1,1
OG_9084,26,24,12,12,9,6,9,4,5,2,5,1
OG_9085,5,13,5,1,2,2,3,1,2,1,1,1
OG_9094,11,9,8,2,1,2,2,2,2,1,1,1
OG_9095,26,14,16,10,15,9,8,5,10,2,1,2
